========= 0 ===============
random sharings generation
beaver triples generation
batch_size 1280
         8720994 function calls (8674429 primitive calls) in 37.734 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      136    0.003    0.000    0.015    0.000 /opt/venv/lib/python3.7/site-packages/zmq/_future.py:459(_add_recv_event)
      130    0.000    0.000    0.014    0.000 /opt/venv/lib/python3.7/site-packages/zmq/_future.py:311(send_multipart)
        5    0.011    0.002    0.014    0.003 /opt/venv/lib/python3.7/site-packages/Crypto/Cipher/_mode_cbc.py:191(decrypt)
      130    0.001    0.000    0.014    0.000 /opt/venv/lib/python3.7/site-packages/zmq/_future.py:495(_add_send_event)
    46080    0.012    0.000    0.012    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/polynomial.py:249(leading_coefficient)
       52    0.000    0.000    0.012    0.000 /opt/venv/lib/python3.7/site-packages/zmq/asyncio.py:148(<lambda>)
       52    0.001    0.000    0.012    0.000 /opt/venv/lib/python3.7/site-packages/zmq/_future.py:633(_handle_events)
      130    0.001    0.000    0.011    0.000 /opt/venv/lib/python3.7/site-packages/zmq/sugar/socket.py:690(send_multipart)
        2    0.000    0.000    0.011    0.006 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss.py:46(__init__)
    55045    0.011    0.000    0.011    0.000 {method 'load_fq_affine' of 'pypairing.G1' objects}
      136    0.009    0.000    0.011    0.000 /opt/venv/lib/python3.7/site-packages/zmq/sugar/socket.py:769(recv_multipart)
    32000    0.011    0.000    0.011    0.000 {method 'copy' of 'pypairing.G1' objects}
        2    0.000    0.000    0.011    0.005 /usr/src/HoneyBadgerMPC/honeybadgermpc/poly_commit_const.py:12(__init__)
        2    0.000    0.000    0.011    0.005 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss_random_share.py:247(<listcomp>)
      130    0.011    0.000    0.011    0.000 /opt/venv/lib/python3.7/site-packages/zmq/sugar/socket.py:613(send)
    11520    0.010    0.000    0.010    0.000 {method 'equals' of 'pypairing.G1' objects}
        2    0.000    0.000    0.010    0.005 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss_random_share.py:257(<listcomp>)
       13    0.000    0.000    0.010    0.001 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:340(__pow__)
       13    0.009    0.001    0.009    0.001 {method 'ppmul' of 'pypairing.G2' objects}
       10    0.009    0.001    0.009    0.001 {method 'decode' of '_fec.Decoder' objects}
        4    0.000    0.000    0.007    0.002 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:511(__pow__)
        4    0.007    0.002    0.007    0.002 {method 'pppow' of 'pypairing.GT' objects}
     5122    0.006    0.000    0.006    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
       13    0.006    0.000    0.006    0.000 /opt/venv/lib/python3.7/site-packages/Crypto/Util/_raw_api.py:132(get_raw_buffer)
        4    0.005    0.001    0.005    0.001 /usr/src/HoneyBadgerMPC/honeybadgermpc/broadcast/crypto/boldyreva.py:151(sign)
        1    0.001    0.001    0.005    0.005 /usr/src/HoneyBadgerMPC/scripts/Beaver_triples_batch.py:137(<listcomp>)
       39    0.000    0.000    0.005    0.000 /opt/venv/lib/python3.7/site-packages/cffi/api.py:242(new)
    23040    0.005    0.000    0.005    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/polynomial.py:259(<listcomp>)
    14135    0.005    0.000    0.005    0.000 {built-in method from_bytes}
      694    0.001    0.000    0.005    0.000 /usr/local/lib/python3.7/asyncio/queues.py:138(put_nowait)
      141    0.001    0.000    0.005    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/utils/misc.py:87(_recv_loop)
     1286    0.002    0.000    0.005    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:673(__sub__)
       18    0.005    0.000    0.005    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/broadcast/reliablebroadcast.py:37(<listcomp>)
       15    0.000    0.000    0.004    0.000 {built-in method builtins.pow}
       25    0.000    0.000    0.004    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/broadcast/reliablebroadcast.py:137(reliablebroadcast)
     3258    0.002    0.000    0.004    0.000 /usr/local/lib/python3.7/enum.py:284(__call__)
      856    0.002    0.000    0.004    0.000 /usr/local/lib/python3.7/enum.py:836(__and__)
       14    0.004    0.000    0.004    0.000 {method 'join' of 'bytes' objects}
       39    0.000    0.000    0.004    0.000 /opt/venv/lib/python3.7/site-packages/cffi/api.py:180(_typeof)
       13    0.000    0.000    0.004    0.000 /opt/venv/lib/python3.7/site-packages/Crypto/Cipher/AES.py:127(new)
        2    0.000    0.000    0.004    0.002 /opt/venv/lib/python3.7/site-packages/cffi/api.py:162(_typeof_locked)
     1034    0.001    0.000    0.004    0.000 /usr/local/lib/python3.7/asyncio/queues.py:150(get)
       13    0.000    0.000    0.004    0.000 /opt/venv/lib/python3.7/site-packages/Crypto/Cipher/__init__.py:54(_create_cipher)
        2    0.000    0.000    0.004    0.002 /opt/venv/lib/python3.7/site-packages/cffi/cparser.py:551(parse_type)
        2    0.000    0.000    0.004    0.002 /opt/venv/lib/python3.7/site-packages/cffi/cparser.py:554(parse_type_and_quals)
       13    0.000    0.000    0.003    0.000 /opt/venv/lib/python3.7/site-packages/Crypto/Cipher/_mode_cbc.py:255(_create_cbc_cipher)
        2    0.000    0.000    0.003    0.002 /opt/venv/lib/python3.7/site-packages/cffi/cparser.py:307(_parse)
      606    0.001    0.000    0.003    0.000 {method 'set_result' of '_asyncio.Future' objects}
    11088    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
       13    0.000    0.000    0.003    0.000 /opt/venv/lib/python3.7/site-packages/Crypto/Util/_raw_api.py:115(create_string_buffer)
